V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q26,Q1,Q2,Q2,Q45_7,Q45_9,Q20_7,Q20_9,Q18_6,Q18_7,Q26_7,Q26_9,Q18_4,Q18_5,Q19_4,Q19_5,Q19_1,Q19_2,Q8,Q9,Q15,Q16,Q12,DO-BR-FL_17,DO-BR-FL_35,DO-BR-FL_31,DO-BR-FL_48,DO-BR-FL_56,DO-BR-FL_52,DO-BL-Treatment,DO-BL-Control,DO-Q-Q1,DO-Q-Q2,LocationLatitude,LocationLongitude,LocationAccuracy,
R_3DnXnqlo8fDWHhR,Default Response Set,Anonymous,,,70.15.84.214,0,2016-04-23 09:25:58,2016-04-23 09:30:52,1,7962445,55-64,Republican,Moderate,,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,,,,,,Very familiar,Not familiar at all,Male,High School / GED,Other,Married with children,Pennsylvania,,,,,,Treatment,Q45|Q18|Q20,,2|1|3,2|1,41.228302001953,-75.793502807617,-1,
R_egFwdOI8HYgrwuB,Default Response Set,Anonymous,,,75.81.206.184,0,2016-04-23 09:29:45,2016-04-23 09:32:17,1,4750395,26-34,Independent,,Democrat,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,,,,,,,Slightly familiar,Slightly familiar,Male,2-year College Degree,Service ,Married without children,Kentucky,,Treatment,,,,,Q45|Q18|Q20,,1|3|2,2|1,37.766204833984,-87.259101867676,-1,
R_3qECGlzRBFlYAyJ,Default Response Set,Anonymous,,,45.19.246.79,0,2016-04-23 09:30:17,2016-04-23 09:33:11,1,4988127,55-64,Democrat,Strong,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Strongly Agree,,,,,,,Slightly familiar,Slightly familiar,Male,High School / GED,Retired,Married without children,Georgia,,,Treatment,,,,Q45|Q20|Q18,,1|3|2,1|2,33.741104125977,-84.109298706055,-1,
R_21zD6JlHA4XP0cO,Default Response Set,Anonymous,,,98.204.151.84,0,2016-04-23 09:30:37,2016-04-23 09:33:57,1,8738331,35-44,Democrat,Moderate,,,,,,,,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Moderately familiar,Very familiar,Female,4-year College Degree,"Management, professional, and related ","Single, never married",Maryland,,,Control,,,,,Q26|Q19|Q18,2|1|3,2|1,39.391906738281,-76.528800964355,-1,
R_2TUk9MqoGvE6xgw,Default Response Set,Anonymous,,,24.166.248.155,0,2016-04-23 09:29:50,2016-04-23 09:35:08,1,8517958,26-34,Independent,,Republican,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,,,,,,,Very familiar,Not familiar at all,Female,Some College,Unemployed,Living w/ partner,Ohio,,,,,Treatment,,Q45|Q20|Q18,,2|3|1,1|2,40.167602539062,-84.217796325684,-1,
R_23duMv5fkLVwMio,Default Response Set,Anonymous,,,107.9.23.140,0,2016-04-23 09:33:30,2016-04-23 09:36:58,1,236518,65 or over,Democrat,Strong,,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,,,,,,,Very familiar,Extremely familiar,Male,Doctoral Degree,"Management, professional, and related ",Married without children,Ohio,,,Treatment,,,,Q45|Q18|Q20,,3|1|2,2|1,39.428497314453,-84.648696899414,-1,
R_2BqE5tYNgaZuH7U,Default Response Set,Anonymous,,,216.48.161.167,0,2016-04-23 09:34:31,2016-04-23 09:37:00,1,6613083,35-44,Independent,,Democrat,Agree,Agree,Agree,Agree,Disagree,Disagree,,,,,,,Very familiar,Moderately familiar,Male,4-year College Degree,Government ,Married with children,New York,,,Treatment,,,,Q45|Q20|Q18,,1|2|3,2|1,45.402297973633,-75.732902526855,-1,
R_2pMJ4QcjhEEZnC8,Default Response Set,Anonymous,,,173.79.49.47,0,2016-04-23 09:35:33,2016-04-23 09:38:44,1,8344639,18-25,Democrat,Strong,,Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,,,,,,,Moderately familiar,Slightly familiar,Female,Masters Degree,"Management, professional, and related ","Single, never married",Maryland,Treatment,,,,,,Q45|Q20|Q18,,2|1|3,2|1,39.089202880859,-77.183502197266,-1,
R_3kujhGhzWVJQaii,Default Response Set,Anonymous,,,66.157.232.20,0,2016-04-23 09:38:30,2016-04-23 09:42:00,1,9033634,26-34,Democrat,Moderate,,Agree,Strongly Agree,Agree,Agree,Agree,Agree,,,,,,,Extremely familiar,Very familiar,Female,4-year College Degree,Sales and office ,Living w/ partner,Florida,,Treatment,,,,,Q45|Q20|Q18,,1|3|2,1|2,30.490097045898,-81.671699523926,-1,
R_DHqm0KZl2kPT5pT,Default Response Set,Anonymous,,,24.40.175.239,0,2016-04-23 09:39:32,2016-04-23 09:42:06,1,8288640,18-25,Independent,,Democrat,,,,,,,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Very familiar,Extremely familiar,Female,4-year College Degree,Government ,"Single, never married",North Carolina,Control,,,,,,,Q26|Q18|Q19,3|2|1,2|1,35.362503051758,-81.574096679688,-1,
R_3ehwiiafsD6Dol5,Default Response Set,Anonymous,,,108.95.181.182,0,2016-04-23 09:39:21,2016-04-23 09:42:42,1,3503042,26-34,Democrat,Weak,,,,,,,,Agree,Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Very familiar,Very familiar,Male,4-year College Degree,Service ,"Single, never married",Ohio,,Control,,,,,,Q26|Q19|Q18,2|3|1,1|2,39.953704833984,-82.931701660156,-1,
R_DVq3dfzIrYfzPLb,Default Response Set,Anonymous,,,162.192.72.7,0,2016-04-23 09:42:49,2016-04-23 09:46:15,1,122131,26-34,Democrat,Moderate,,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,Moderately familiar,Moderately familiar,Male,Masters Degree,"Management, professional, and related ","Single, never married",Ohio,,Treatment,,,,,Q45|Q20|Q18,,2|3|1,1|2,39.647399902344,-84.157302856445,-1,
R_1FOZQfLvlpJOcdd,Default Response Set,Anonymous,,,67.240.236.223,0,2016-04-23 09:44:27,2016-04-23 09:47:25,1,1685408,26-34,Independent,,Republican,,,,,,,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Very familiar,Moderately familiar,Male,4-year College Degree,Sales and office ,"Single, never married",New York,,,,,Control,,,Q26|Q19|Q18,1|3|2,1|2,43.216598510742,-78.058403015137,-1,
R_ON1oPtU2unhLI5P,Default Response Set,Anonymous,,,173.64.218.106,0,2016-04-23 09:48:32,2016-04-23 09:50:37,1,7334787,26-34,Democrat,Weak,,,,,,,,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Very familiar,Moderately familiar,Male,4-year College Degree,"Management, professional, and related ","Single, never married",Texas,,Control,,,,,,Q26|Q19|Q18,1|3|2,1|2,32.957901000977,-96.623596191406,-1,
R_Du9Yb2SslYeY0eJ,Default Response Set,Anonymous,,,72.28.204.162,0,2016-04-23 09:48:05,2016-04-23 09:50:50,1,9095837,26-34,Republican,Moderate,,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,,,,,,,Extremely familiar,Extremely familiar,Female,4-year College Degree,Service ,"Single, never married",Maryland,,,,,Treatment,,Q45|Q20|Q18,,2|1|3,2|1,39.635101318359,-78.766502380371,-1,
R_RC81QeljHrF4Ndn,Default Response Set,Anonymous,,,174.140.64.232,0,2016-04-23 09:49:17,2016-04-23 09:51:40,1,9505267,55-64,Independent,,Republican,Agree,Agree,Agree,Agree,Disagree,Disagree,,,,,,,Slightly familiar,Slightly familiar,Male,4-year College Degree,Retired,"Single, never married",Pennsylvania,,,,,,Treatment,Q45|Q20|Q18,,3|1|2,2|1,39.893707275391,-79.749198913574,-1,
R_2DV8BQwGFngcHcX,Default Response Set,Anonymous,,,65.185.144.244,0,2016-04-23 09:49:31,2016-04-23 09:52:00,1,4955025,26-34,Democrat,Moderate,,,,,,,,Agree,Agree,Disagree,Disagree,Agree,Agree,Very familiar,Very familiar,Male,4-year College Degree,Sales and office ,"Single, never married",Ohio,,Control,,,,,,Q26|Q18|Q19,3|2|1,2|1,39.337600708008,-84.404403686523,-1,
R_29z4jBgoDabg3zr,Default Response Set,Anonymous,,,72.241.151.128,0,2016-04-23 09:48:27,2016-04-23 09:52:08,1,3915312,35-44,Democrat,Weak,,,,,,,,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Slightly familiar,Moderately familiar,Female,4-year College Degree,Other,"Single, never married",Michigan,,,Control,,,,,Q26|Q18|Q19,1|3|2,1|2,41.794006347656,-83.587898254395,-1,
R_2YakBnjYZt3T0PQ,Default Response Set,Anonymous,,,174.100.193.102,0,2016-04-23 09:48:51,2016-04-23 09:52:56,1,7135489,45-54,Democrat,Moderate,,,,,,,,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Extremely familiar,Extremely familiar,Female,Masters Degree,"Management, professional, and related ",Married with children,Ohio,,,Control,,,,,Q26|Q18|Q19,1|3|2,2|1,40.899597167969,-81.439598083496,-1,
R_1poGUvgvUvQdOa2,Default Response Set,Anonymous,,,71.51.26.97,0,2016-04-23 09:49:02,2016-04-23 09:53:58,1,4321060,55-64,Independent,,Republican,,,,,,,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Very familiar,Slightly familiar,Female,4-year College Degree,Unemployed,Divorced,Virginia,,,,,,Control,,Q26|Q19|Q18,2|1|3,2|1,36.726593017578,-79.86669921875,-1,
R_0OicK80x4YNhytX,Default Response Set,Anonymous,,,71.200.211.27,0,2016-04-23 09:58:24,2016-04-23 10:03:14,1,4076653,45-54,Republican,Strong,,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,,,,,,,Very familiar,Very familiar,Female,4-year College Degree,Service ,"Single, never married",Florida,,,,,,Treatment,Q45|Q18|Q20,,2|3|1,2|1,26.602493286133,-81.62329864502,-1,
R_3NLq5izjcPoGDxU,Default Response Set,Anonymous,,,107.10.242.76,0,2016-04-23 10:02:27,2016-04-23 10:06:38,1,9101926,45-54,Independent,,Republican,,,,,,,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Extremely familiar,Slightly familiar,Female,4-year College Degree,Sales and office ,Married with children,Ohio,,,,,,Control,,Q26|Q18|Q19,1|3|2,2|1,41.446197509766,-81.396003723145,-1,
R_2S8NzenmOv90EL9,Default Response Set,Anonymous,,,108.223.184.227,0,2016-04-23 10:04:06,2016-04-23 10:07:56,1,5857521,55-64,Republican,Weak,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Moderately familiar,Slightly familiar,Male,Masters Degree,Retired,Married with children,Florida,,,,,,Control,,Q26|Q19|Q18,3|1|2,1|2,28.580093383789,-81.44100189209,-1,
R_BPcqpvifn5plu1j,Default Response Set,Anonymous,,,67.217.20.66,0,2016-04-23 10:07:34,2016-04-23 10:10:33,1,2795021,18-25,Independent,,Democrat,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,,,,,Very familiar,Very familiar,Female,Some College,Unemployed,Married with children,North Dakota,Treatment,,,,,,Q45|Q18|Q20,,3|2|1,2|1,47.260406494141,-101.83570098877,-1,
R_1nTNcOc5aO1c7Dj,Default Response Set,Anonymous,,,104.128.163.228,0,2016-04-23 10:12:34,2016-04-23 10:15:24,1,5260526,35-44,Democrat,Moderate,,Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,,,,,,,Extremely familiar,Very familiar,Male,Masters Degree,Other,Divorced,Tennessee,,,Treatment,,,,Q45|Q18|Q20,,3|1|2,1|2,35.170501708984,-85.209503173828,-1,
R_1i9Zs3ABiAP8f2H,Default Response Set,Anonymous,,,67.86.179.255,0,2016-04-23 10:14:43,2016-04-23 10:17:00,1,8705401,26-34,Independent,,Democrat,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,Moderately familiar,Moderately familiar,Male,4-year College Degree,Sales and office ,"Single, never married",New Jersey,,Treatment,,,,,Q45|Q18|Q20,,1|2|3,1|2,40.981597900391,-74.113800048828,-1,
R_vwuYXJ3B3bcP357,Default Response Set,Anonymous,,,108.44.152.213,0,2016-04-23 10:16:32,2016-04-23 10:18:57,1,5494693,18-25,Republican,Strong,,,,,,,,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Extremely familiar,Very familiar,Male,2-year College Degree,Unemployed,"Single, never married",Virginia,,,,Control,,,,Q26|Q19|Q18,3|1|2,2|1,38.216598510742,-77.402900695801,-1,
R_3ilKhWQZujDxqkZ,Default Response Set,Anonymous,,,98.184.143.71,0,2016-04-23 10:17:41,2016-04-23 10:23:13,1,1847381,26-34,Democrat,Strong,,,,,,,,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Moderately familiar,Moderately familiar,Female,4-year College Degree,Service ,"Single, never married",Oklahoma,,Control,,,,,,Q26|Q18|Q19,1|2|3,1|2,36.060699462891,-95.806396484375,-1,
R_1lgXDtwCmkWmDkp,Default Response Set,Anonymous,,,24.15.147.85,0,2016-04-23 10:21:05,2016-04-23 10:24:38,1,9399948,26-34,Democrat,Strong,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,,,,,,,Extremely familiar,Extremely familiar,Female,4-year College Degree,"Management, professional, and related ",Living w/ partner,Illinois,,Treatment,,,,,Q45|Q20|Q18,,2|1|3,2|1,41.626998901367,-88.204002380371,-1,
R_290VcEBSo1ydXp3,Default Response Set,Anonymous,,,75.182.25.81,0,2016-04-23 10:23:05,2016-04-23 10:26:57,1,6126392,35-44,Independent,,Democrat,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,,,,,,Moderately familiar,Extremely familiar,Male,Masters Degree,"Management, professional, and related ",Married with children,South Carolina,,,Treatment,,,,Q45|Q18|Q20,,3|1|2,2|1,33.097503662109,-80.175300598145,-1,
R_2VknA5O1DbAyMdj,Default Response Set,Anonymous,,,190.219.85.13,0,2016-04-23 10:25:36,2016-04-23 10:28:24,1,9782272,55-64,Independent,,Republican,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,Very familiar,Very familiar,Male,Some College,Sales and office ,Married with children,Colorado,,,,,,Treatment,Q45|Q20|Q18,,1|3|2,2|1,8.4333038330078,-82.433296203613,-1,
R_1OH7SLqMD7oofmz,Default Response Set,Anonymous,,,208.191.157.147,0,2016-04-23 10:28:55,2016-04-23 10:32:20,1,4420879,45-54,Independent,,Democrat,,,,,,,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Moderately familiar,Very familiar,Female,4-year College Degree,"Management, professional, and related ",Divorced,Texas,,,Control,,,,,Q26|Q19|Q18,2|1|3,2|1,30.296600341797,-97.766296386719,-1,
R_1rwFnFiWbpRdVmw,Default Response Set,Anonymous,,,128.210.107.76,0,2016-04-23 10:32:28,2016-04-23 10:34:07,1,8168512,18-25,Independent,,Republican,,,,,,,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Moderately familiar,Moderately familiar,Male,Some College,Other,"Single, never married",Indiana,,,,Control,,,,Q26|Q18|Q19,2|1|3,2|1,40.425903320312,-86.908096313477,-1,
R_50yHpgk4Np9isrT,Default Response Set,Anonymous,,,173.224.109.242,0,2016-04-23 10:32:39,2016-04-23 10:35:41,1,6296754,26-34,Republican,Moderate,,,,,,,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Extremely familiar,Extremely familiar,Male,4-year College Degree,"Management, professional, and related ",Married with children,Texas,,,,,Control,,,Q26|Q19|Q18,3|2|1,2|1,29.58219909668,-95.760803222656,-1,
R_1nTHEVVBYg2f3El,Default Response Set,Anonymous,,,73.90.181.143,0,2016-04-23 10:33:37,2016-04-23 10:38:48,1,4095659,35-44,Democrat,Strong,,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,,,,,,,Moderately familiar,Very familiar,Female,2-year College Degree,"Management, professional, and related ",Living w/ partner,California,,,Treatment,,,,Q45|Q18|Q20,,3|2|1,1|2,37.831100463867,-121.18719482422,-1,
R_2P1hNOmRxaMMbPV,Default Response Set,Anonymous,,,100.12.157.108,0,2016-04-23 10:38:12,2016-04-23 10:39:20,1,7589873,18-25,Republican,Moderate,,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,Very familiar,Moderately familiar,Male,4-year College Degree,Service ,"Single, never married",New York,,,,Treatment,,,Q45|Q18|Q20,,1|2|3,1|2,40.626007080078,-74.094200134277,-1,
R_3ENdbRdQwzxEyvQ,Default Response Set,Anonymous,,,75.74.177.138,0,2016-04-23 10:35:13,2016-04-23 10:39:38,1,2829717,45-54,Independent,,Republican,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Extremely familiar,Moderately familiar,Male,4-year College Degree,Service ,"Single, never married",Florida,,,,,,Control,,Q26|Q19|Q18,1|3|2,2|1,24.585693359375,-81.680999755859,-1,
R_1ojcmQvm9iTFNob,Default Response Set,Anonymous,,,96.251.123.74,0,2016-04-23 10:39:13,2016-04-23 10:39:52,1,9764375,18-25,Republican,Moderate,,,,,,,,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Disagree,Slightly familiar,Slightly familiar,Female,Some College,Sales and office ,"Single, never married",California,,,,Control,,,,Q26|Q19|Q18,1|3|2,2|1,34.061401367188,-117.17340087891,-1,
R_2nLPefCcRzD8eBj,Default Response Set,Anonymous,,,174.19.172.124,0,2016-04-23 10:42:01,2016-04-23 10:44:15,1,2396314,26-34,Independent,,Democrat,Agree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,,,,,,,Extremely familiar,Extremely familiar,Female,Masters Degree,Other,"Single, never married",Arizona,,Treatment,,,,,Q45|Q18|Q20,,1|3|2,1|2,33.400100708008,-111.92900085449,-1,
R_3HUjOINWcxwCtd9,Default Response Set,Anonymous,,,104.5.37.83,0,2016-04-23 10:41:45,2016-04-23 10:44:24,1,5584440,35-44,Democrat,Moderate,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Moderately familiar,Moderately familiar,Female,4-year College Degree,"Management, professional, and related ","Single, never married",Georgia,,,Control,,,,,Q26|Q19|Q18,2|3|1,2|1,33.770797729492,-84.292999267578,-1,
R_2SrwFh6Bi72aFip,Default Response Set,Anonymous,,,129.174.182.38,0,2016-04-23 10:42:14,2016-04-23 10:46:06,1,627009,18-25,Democrat,Moderate,,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,,,,,,,Very familiar,Moderately familiar,Female,Some College,Unemployed,"Single, never married",Virginia,Treatment,,,,,,Q45|Q20|Q18,,2|3|1,2|1,38.835693359375,-77.337501525879,-1,
R_2S3q6CZPhEvr4Z0,Default Response Set,Anonymous,,,173.162.143.86,0,2016-04-23 10:46:56,2016-04-23 10:48:59,1,2085369,26-34,Independent,,Democrat,,,,,,,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Moderately familiar,Very familiar,Male,4-year College Degree,"Management, professional, and related ",Married without children,Massachusetts,,Control,,,,,,Q26|Q18|Q19,1|3|2,1|2,42.588806152344,-71.441596984863,-1,
R_1Q3cXgljiWJRFE7,Default Response Set,Anonymous,,,184.0.116.163,0,2016-04-23 10:48:57,2016-04-23 10:54:45,1,9173923,35-44,Republican,Moderate,,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,,,,,,Extremely familiar,Very familiar,Male,2-year College Degree,Retired,Married with children,Virginia,,,,,,Treatment,Q45|Q18|Q20,,2|1|3,2|1,37.987594604492,-78.608596801758,-1,
R_2VDeJMaraszZsvK,Default Response Set,Anonymous,,,73.168.146.149,0,2016-04-23 10:55:09,2016-04-23 10:59:26,1,8065176,35-44,Republican,Moderate,,,,,,,,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Extremely familiar,Extremely familiar,Male,High School / GED,Other,"Single, never married",Indiana,,,,,,Control,,Q26|Q19|Q18,1|2|3,2|1,39.162292480469,-84.891098022461,-1,
R_1mWwOs1hg8kemtx,Default Response Set,Anonymous,,,69.24.179.27,0,2016-04-23 10:56:52,2016-04-23 10:59:54,1,3741008,35-44,Republican,Moderate,,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,,,,,,,Moderately familiar,Moderately familiar,Male,4-year College Degree,Government ,Married with children,Minnesota,,,,,,Treatment,Q45|Q20|Q18,,1|2|3,2|1,44.130798339844,-94,-1,
R_2QESnsmdMTxPwUa,Default Response Set,Anonymous,,,71.95.96.4,0,2016-04-23 10:58:24,2016-04-23 11:01:33,1,2065030,18-25,Independent,,Democrat,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,,,,,,,Moderately familiar,Moderately familiar,Female,4-year College Degree,Sales and office ,Living w/ partner,Oregon,Treatment,,,,,,Q45|Q18|Q20,,3|2|1,2|1,45.544692993164,-121.154296875,-1,
R_2xWNlmmAuWb6xRg,Default Response Set,Anonymous,,,201.218.40.198,0,2016-04-23 10:56:30,2016-04-23 11:01:48,1,7176631,26-34,Democrat,Moderate,,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,Extremely familiar,Moderately familiar,Female,4-year College Degree,Sales and office ,Married without children,Massachusetts,,Treatment,,,,,Q45|Q20|Q18,,2|1|3,2|1,-1.0500030517578,-80.449996948242,-1,
R_3MMXlpwM7rhZunk,Default Response Set,Anonymous,,,75.86.160.139,0,2016-04-23 10:58:44,2016-04-23 11:02:30,1,2363956,45-54,Independent,,Republican,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,Very familiar,Very familiar,Female,Some College,Service ,Married without children,Wisconsin,,,,,,Treatment,Q45|Q18|Q20,,3|1|2,1|2,42.55810546875,-87.828598022461,-1,
R_poX17lgUPPIxZKx,Default Response Set,Anonymous,,,50.138.205.187,0,2016-04-23 10:59:26,2016-04-23 11:02:49,1,8924152,18-25,Democrat,Strong,,,,,,,,Agree,Agree,Disagree,Disagree,Agree,Agree,Very familiar,Very familiar,Male,4-year College Degree,Other,"Single, never married",Connecticut,Control,,,,,,,Q26|Q18|Q19,2|3|1,1|2,41.352401733398,-72.39990234375,-1,
R_07oUlr3J27FnMYh,Default Response Set,Anonymous,,,107.210.80.173,0,2016-04-23 10:58:38,2016-04-23 11:03:03,1,9225871,55-64,Democrat,Moderate,,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,Extremely familiar,Extremely familiar,Male,4-year College Degree,"Construction, extraction, and maintenance ","Single, never married",Alabama,,,Treatment,,,,Q45|Q20|Q18,,2|3|1,1|2,34.803802490234,-86.618896484375,-1,
R_bw2zAIQMufFagWB,Default Response Set,Anonymous,,,98.233.204.233,0,2016-04-23 11:01:56,2016-04-23 11:05:46,1,7556890,26-34,Democrat,Moderate,,,,,,,,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Very familiar,Very familiar,Female,High School / GED,Unemployed,"Single, never married",Maryland,,Control,,,,,,Q26|Q19|Q18,2|1|3,2|1,39.257507324219,-76.495101928711,-1,
R_2bT8OvJ77fxklph,Default Response Set,Anonymous,,,162.216.46.129,0,2016-04-23 11:06:46,2016-04-23 11:10:46,1,2764415,26-34,Democrat,Moderate,,,,,,,,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Moderately familiar,Moderately familiar,Male,High School / GED,Other,"Single, never married",Missouri,,Control,,,,,,Q26|Q19|Q18,1|3|2,1|2,33.019805908203,-96.69889831543,-1,
R_1dKBzmP8k198oid,Default Response Set,Anonymous,,,100.37.193.43,0,2016-04-23 11:05:37,2016-04-23 11:11:18,1,8980607,26-34,Democrat,Strong,,,,,,,,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Extremely familiar,Moderately familiar,Female,Some College,Sales and office ,"Single, never married",New York,,Control,,,,,,Q26|Q18|Q19,2|3|1,1|2,40.792098999023,-73.943901062012,-1,
R_3NEsQkMsZJUPTNh,Default Response Set,Anonymous,,,50.156.191.4,0,2016-04-23 11:08:53,2016-04-23 11:12:01,1,3140725,26-34,Democrat,Moderate,,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,,,,,,,Moderately familiar,Slightly familiar,Male,Masters Degree,Government ,Married without children,Florida,,Treatment,,,,,Q45|Q18|Q20,,1|3|2,2|1,30.399398803711,-84.172500610352,-1,
R_10H1DvSTQk2uBv5,Default Response Set,Anonymous,,,71.225.78.161,0,2016-04-23 11:06:09,2016-04-23 11:13:50,1,743869,26-34,Democrat,Moderate,,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,,,,,,,Moderately familiar,Moderately familiar,Female,4-year College Degree,"Management, professional, and related ",Married without children,Delaware,,Treatment,,,,,Q45|Q20|Q18,,2|3|1,1|2,39.735107421875,-75.668403625488,-1,
R_bNTlMLRiYSUpwRD,Default Response Set,Anonymous,,,76.6.255.251,0,2016-04-23 11:11:21,2016-04-23 11:14:36,1,1516716,55-64,Republican,Moderate,,Agree,Agree,Disagree,Disagree,Agree,Agree,,,,,,,Very familiar,Slightly familiar,Male,Some College,"Management, professional, and related ",Married with children,Ohio,,,,,,Treatment,Q45|Q18|Q20,,3|2|1,,40.372604370117,-83.747703552246,-1,
R_21aN9ywyM2lk7ih,Default Response Set,Anonymous,,,76.170.201.167,0,2016-04-23 11:10:42,2016-04-23 11:14:53,1,6713344,55-64,Republican,Moderate,,,,,,,,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Extremely familiar,Not familiar at all,Female,Some College,"Management, professional, and related ",Living w/ partner,California,,,,,,Control,,Q26|Q18|Q19,2|1|3,1|2,33.816101074219,-117.97940063477,-1,
R_uqd7IxiPzYxgJu9,Default Response Set,Anonymous,,,107.193.194.194,0,2016-04-23 11:11:57,2016-04-23 11:15:17,1,5409966,55-64,Democrat,Weak,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Moderately familiar,Very familiar,Male,Masters Degree,"Management, professional, and related ",Married with children,Illinois,,,Control,,,,,Q26|Q19|Q18,2|1|3,2|1,41.777603149414,-87.860496520996,-1,
R_2BapjAbiYErFynb,Default Response Set,Anonymous,,,4.79.229.69,0,2016-04-23 11:16:56,2016-04-23 11:20:32,1,9682838,26-34,Democrat,Weak,,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Strongly Agree,,,,,,,Extremely familiar,Extremely familiar,Female,4-year College Degree,Sales and office ,"Single, never married",Virginia,,Treatment,,,,,Q45|Q20|Q18,,3|1|2,2|1,38.965103149414,-77.065399169922,-1,
R_11Zc0nen7qttJME,Default Response Set,Anonymous,,,148.74.20.127,0,2016-04-23 11:19:27,2016-04-23 11:21:46,1,3711772,26-34,Republican,Weak,,,,,,,,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very familiar,Moderately familiar,Male,4-year College Degree,"Management, professional, and related ","Single, never married",New York,,,,,Control,,,Q26|Q19|Q18,2|3|1,1|2,41.057205200195,-73.778701782227,-1,
