V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q21_1,Q21_2,Q21_3,Q21_4,Q6_6,Q6_7,Q6_8,Q22_1,Q22_2,Q22_3,Q22_4,Q26,Q1,Q2,Q2,Q23_1,Q23_2,Q23_3,Q23_4,Q20_7,Q20_9,Q27_1,Q27_2,Q27_3,Q27_4,Q18_6,Q18_7,Q24_1,Q24_2,Q24_3,Q24_4,Q18_4,Q18_5,Q28_1,Q28_2,Q28_3,Q28_4,Q19_4,Q19_5,Q19_1,Q19_2,Q25_1,Q25_2,Q25_3,Q25_4,Q8,Q9,Q15,Q16,Q12,LocationLatitude,LocationLongitude,LocationAccuracy,
R_3MsvWL6zQYlMPDo,Default Response Set,Anonymous,,,173.217.32.103,0,2016-04-03 23:31:53,2016-04-03 23:35:06,1,3222997,1,2,3,4,Negative,Negative,Negative,1,2,3,4,45-54,Independent,,Republican,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Male,Some College,"Construction, extraction, and maintenance ",Divorced,Louisiana,32.452499389648,-93.636497497559,-1,
R_2CNQOpZlO0wq8OB,Default Response Set,Anonymous,,,68.59.55.103,0,2016-04-03 23:32:18,2016-04-03 23:35:13,1,4957410,1,2,3,4,Positive,Neutral,Neutral,1,2,3,4,26-34,Independent,,Democrat,,,,,Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Disagree,,,,,,,,,,,,,Very familiar,Moderately familiar,1,2,3,4,Male,4-year College Degree,Other,"Single, never married",Florida,30.525207519531,-84.332099914551,-1,
R_57FZiOVEmIB2v2p,Default Response Set,Anonymous,,,45.49.98.243,0,2016-04-03 23:33:23,2016-04-03 23:37:15,1,5152894,1,2,3,4,Very Positive,Very Positive,Very Positive,1,2,3,4,18-25,Independent,,Democrat,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Very familiar,Very familiar,1,2,3,4,Male,High School / GED,Other,"Single, never married",California,33.986404418945,-118.08840179443,-1,
R_YSvHWHUxFEy5Xnr,Default Response Set,Anonymous,,,174.106.65.158,0,2016-04-03 23:34:06,2016-04-03 23:38:30,1,8107993,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,45-54,Democrat,Moderate,,,,,,Disagree,Disagree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Moderately familiar,1,2,3,4,Male,High School / GED,Other,Married without children,North Carolina,35.131103515625,-80.851196289062,-1,
R_12MFXknlF1RNV1w,Default Response Set,Anonymous,,,67.183.66.22,0,2016-04-03 23:38:59,2016-04-03 23:41:20,1,1794848,1,2,3,4,Neutral,Neutral,Positive,1,2,3,4,45-54,Democrat,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Neither Agree nor Disagree,Disagree,Moderately familiar,Moderately familiar,1,2,3,4,Female,4-year College Degree,Unemployed,Married with children,Washington,47.673797607422,-122.34190368652,-1,
R_xr5CQaeb4SNdhM5,Default Response Set,Anonymous,,,54.152.220.9,0,2016-04-03 23:33:13,2016-04-03 23:41:32,1,5730810,1,2,3,4,Positive,Negative,Neutral,1,2,3,4,35-44,Democrat,Strong,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Moderately familiar,Very familiar,1,2,3,4,Female,Masters Degree,Service ,"Single, never married",Arizona,39.033493041992,-77.48380279541,-1,
R_28ChHXJKCBss4Vc,Default Response Set,Anonymous,,,24.158.124.19,0,2016-04-03 23:37:54,2016-04-03 23:41:33,1,2709401,1,2,3,4,Very Negative,Very Negative,Negative,1,2,3,4,18-25,Democrat,Moderate,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Extremely familiar,Moderately familiar,1,2,3,4,Female,High School / GED,Service ,"Single, never married",Tennessee,35.960601806641,-83.920700073242,-1,
R_3Eyd7nkFHfXgAsJ,Default Response Set,Anonymous,,,104.174.223.0,0,2016-04-03 23:39:48,2016-04-03 23:41:56,1,1067614,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Democrat,Moderate,,,,,,Agree,Agree,,,,,Disagree,Disagree,,,,,,,,,,,,,Slightly familiar,Slightly familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ","Single, never married",California,34.078994750977,-117.84939575195,-1,
R_1djgLg21n6JwLvJ,Default Response Set,Anonymous,,,129.255.225.211,0,2016-04-03 23:42:06,2016-04-03 23:44:29,1,3474859,1,2,3,4,Positive,Very Positive,Neutral,1,2,3,4,18-25,Democrat,Moderate,,,,,,Neither Agree nor Disagree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Very familiar,Moderately familiar,1,2,3,4,Male,Some College,Other,"Single, never married",Iowa,41.664001464844,-91.544700622559,-1,
R_25LQm3qZ1eVVrRs,Default Response Set,Anonymous,,,71.12.121.214,0,2016-04-03 23:42:39,2016-04-03 23:44:38,1,103970,1,2,3,4,Positive,Positive,Positive,1,2,3,4,45-54,Republican,Moderate,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,,,,,,,Very familiar,Moderately familiar,1,2,3,4,Female,High School / GED,"Management, professional, and related ",Married with children,Oregon,43.373992919922,-124.14770507812,-1,
R_10q05b8TucWzsvj,Default Response Set,Anonymous,,,100.33.44.74,0,2016-04-03 23:41:32,2016-04-03 23:45:09,1,3873173,1,2,3,4,Neutral,Negative,Positive,1,2,3,4,55-64,Democrat,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Neither Agree nor Disagree,Very familiar,Very familiar,1,2,3,4,Female,4-year College Degree,Sales and office ,Divorced,New York,40.545303344727,-74.178596496582,-1,
R_1Hd94b4gFRmqfRu,Default Response Set,Anonymous,,,98.248.61.172,0,2016-04-03 23:46:35,2016-04-03 23:48:28,1,5288688,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Democrat,Strong,,,,,,Disagree,Disagree,,,,,Disagree,Disagree,,,,,,,,,,,,,Very familiar,Very familiar,1,2,3,4,Female,4-year College Degree,"Management, professional, and related ",Married without children,California,37.236206054688,-121.82890319824,-1,
R_2CEALMPDyhWdugh,Default Response Set,Anonymous,,,66.44.195.96,0,2016-04-03 23:45:49,2016-04-03 23:48:59,1,4970424,1,2,3,4,Positive,Positive,Very Positive,1,2,3,4,18-25,Independent,,Democrat,,,,,,,,,,,,,,,,,Agree,Strongly Agree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Extremely familiar,Extremely familiar,1,2,3,4,Female,High School / GED,Unemployed,"Single, never married",Georgia,34.341003417969,-84.348999023438,-1,
R_3FPg1v5W5e3Z18M,Default Response Set,Anonymous,,,24.190.31.157,0,2016-04-03 23:44:26,2016-04-03 23:49:12,1,9447145,1,2,3,4,Very Positive,Very Positive,Very Positive,1,2,3,4,26-34,Democrat,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Strongly Agree,Extremely familiar,Not familiar at all,1,2,3,4,Male,4-year College Degree,Service ,Married with children,New York,40.876007080078,-73.871597290039,-1,
R_sZrvAPL0xmPsmOd,Default Response Set,Anonymous,,,98.254.206.180,0,2016-04-03 23:44:14,2016-04-03 23:49:25,1,3475800,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Independent,,Democrat,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately familiar,Moderately familiar,1,2,3,4,Male,2-year College Degree,Unemployed,"Single, never married",Florida,27.077499389648,-80.258697509766,-1,
R_vv6XWTxB9LhfWVz,Default Response Set,Anonymous,,,98.248.61.172,0,2016-04-03 23:49:54,2016-04-03 23:50:52,1,8834522,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Democrat,Weak,,,,,,Disagree,Disagree,,,,,Disagree,Disagree,,,,,,,,,,,,,Very familiar,Very familiar,1,2,3,4,Male,4-year College Degree,Other,Married without children,California,37.236206054688,-121.82890319824,-1,
R_eqSMq8uhpfEmHNn,Default Response Set,Anonymous,,,68.4.157.208,0,2016-04-03 23:51:50,2016-04-03 23:55:47,1,5540009,1,2,3,4,Positive,Positive,Positive,1,2,3,4,55-64,Republican,Weak,,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Moderately familiar,1,2,3,4,Female,Some College,Retired,"Single, never married",California,33.645095825195,-117.67860412598,-1,
R_e33OHP9PWEmmBoZ,Default Response Set,Anonymous,,,104.176.100.137,0,2016-04-03 23:56:27,2016-04-03 23:59:12,1,6955967,1,2,3,4,Positive,Positive,Neutral,1,2,3,4,26-34,Democrat,Strong,,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Female,Masters Degree,"Management, professional, and related ",Living w/ partner,Alabama,33.397201538086,-86.840797424316,-1,
R_3O7DELlUU4ztxpD,Default Response Set,Anonymous,,,71.57.14.47,0,2016-04-03 23:58:32,2016-04-04 00:00:24,1,8171868,1,2,3,4,Very Positive,Very Positive,Very Positive,1,2,3,4,18-25,Republican,Weak,,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Strongly Agree,Strongly Agree,Very familiar,Very familiar,1,2,3,4,Male,Some College,Unemployed,"Single, never married",Indiana,41.461898803711,-87.000801086426,-1,
R_2zJeZvXPcDBVBs5,Default Response Set,Anonymous,,,104.131.176.234,0,2016-04-03 23:59:35,2016-04-04 00:03:26,1,2698367,1,2,3,4,Neutral,Positive,Positive,1,2,3,4,26-34,Democrat,Moderate,,,,,,Agree,Neither Agree nor Disagree,,,,,Agree,Neither Agree nor Disagree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Male,"Professional Degree (JD, MD)","Management, professional, and related ","Single, never married",California,40.714294433594,-74.005996704102,-1,
R_3fH09Qd6NwBB2Vy,Default Response Set,Anonymous,,,76.189.168.244,0,2016-04-04 00:05:57,2016-04-04 00:09:34,1,6381691,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,26-34,Democrat,Strong,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Strongly Agree,Strongly Agree,Slightly familiar,Moderately familiar,1,2,3,4,Female,4-year College Degree,Service ,Living w/ partner,Pennsylvania,42.106704711914,-80.107902526855,-1,
R_2YtwORBOP4Frmc7,Default Response Set,Anonymous,,,24.173.89.178,0,2016-04-04 00:13:06,2016-04-04 00:16:07,1,544498,1,2,3,4,Very Positive,Very Positive,Very Positive,1,2,3,4,18-25,Republican,Moderate,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Agree,,,,,Agree,Agree,Extremely familiar,Very familiar,1,2,3,4,Male,Some College,"Management, professional, and related ",Married with children,Texas,31.044998168945,-97.508697509766,-1,
R_28UOGEhXzTJHMvk,Default Response Set,Anonymous,,,174.20.148.130,0,2016-04-04 00:15:13,2016-04-04 00:18:55,1,2931878,1,2,3,4,Negative,Negative,Neutral,1,2,3,4,26-34,Democrat,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Very familiar,Very familiar,1,2,3,4,Female,Some College,Other,Married with children,Minnesota,45.020294189453,-93.245002746582,-1,
R_V4j9S8VREbgA4y5,Default Response Set,Anonymous,,,74.78.213.1,0,2016-04-04 00:16:04,2016-04-04 00:18:58,1,8503789,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,55-64,Republican,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Strongly Agree,Strongly Agree,Moderately familiar,Slightly familiar,1,2,3,4,Male,4-year College Degree,Other,Married with children,New York,43.050994873047,-76.176902770996,-1,
R_1Fqw1uJtMzPCTt3,Default Response Set,Anonymous,,,70.119.38.180,0,2016-04-04 00:17:11,2016-04-04 00:19:56,1,1422572,1,2,3,4,Positive,Positive,Very Positive,1,2,3,4,18-25,Republican,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Extremely familiar,Very familiar,1,2,3,4,Male,Some College,Unemployed,"Single, never married",Texas,33.020004272461,-96.741897583008,-1,
R_51QKYsJ7ZckR4CR,Default Response Set,Anonymous,,,69.143.226.185,0,2016-04-04 00:17:42,2016-04-04 00:20:54,1,6515315,1,2,3,4,Positive,Positive,Neutral,1,2,3,4,26-34,Republican,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Extremely familiar,Extremely familiar,1,2,3,4,Male,"Professional Degree (JD, MD)","Management, professional, and related ",Married without children,Virginia,38.811492919922,-77.12850189209,-1,
R_3fIAu9Oe6pMeqJq,Default Response Set,Anonymous,,,50.53.254.117,0,2016-04-04 00:18:02,2016-04-04 00:21:30,1,7775582,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,26-34,Democrat,Weak,,,,,,Agree,Agree,,,,,Disagree,Disagree,,,,,,,,,,,,,Moderately familiar,Very familiar,1,2,3,4,Female,Masters Degree,Unemployed,Married with children,Oregon,45.365295410156,-122.75790405273,-1,
R_tR4PifG1g0jh4NX,Default Response Set,Anonymous,,,50.149.105.239,0,2016-04-04 00:17:52,2016-04-04 00:22:01,1,3979740,1,2,3,4,Positive,Positive,Positive,1,2,3,4,45-54,Democrat,Strong,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Slightly familiar,Moderately familiar,1,2,3,4,Female,2-year College Degree,"Management, professional, and related ",Married with children,Washington,47.680099487305,-122.12060546875,-1,
R_1nOfk8eGF8xUjYt,Default Response Set,Anonymous,,,50.157.61.74,0,2016-04-04 00:24:44,2016-04-04 00:26:25,1,5313045,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,18-25,Independent,,Republican,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Strongly Agree,Extremely familiar,Very familiar,1,2,3,4,Female,Some College,Sales and office ,"Single, never married",Mississippi,32.288299560547,-88.587997436523,-1,
R_26869rMXlKQ6UTf,Default Response Set,Anonymous,,,67.245.168.189,0,2016-04-04 00:24:13,2016-04-04 00:27:00,1,241517,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,35-44,Republican,Strong,,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Neither Agree nor Disagree,Agree,Extremely familiar,Slightly familiar,1,2,3,4,Female,2-year College Degree,Sales and office ,Married with children,New York,41.807098388672,-74.73210144043,-1,
R_3soWixQQcGY19t0,Default Response Set,Anonymous,,,64.31.245.36,0,2016-04-04 00:24:51,2016-04-04 00:27:33,1,8162884,1,2,3,4,Neutral,Neutral,Positive,1,2,3,4,26-34,Republican,Moderate,,,,,,,,,,,,,,,,,,Agree,Neither Agree nor Disagree,,,,,Agree,Agree,Moderately familiar,Slightly familiar,1,2,3,4,Female,Masters Degree,Other,Married with children,North Dakota,46.673095703125,-100.6270980835,-1,
R_2fq7ZWwUEskYh3v,Default Response Set,Anonymous,,,73.50.72.8,0,2016-04-04 00:25:11,2016-04-04 00:28:26,1,8028204,1,2,3,4,Positive,Neutral,Neutral,1,2,3,4,26-34,Republican,Moderate,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Very familiar,Moderately familiar,1,2,3,4,Female,4-year College Degree,"Management, professional, and related ",Married with children,Illinois,41.998992919922,-87.821998596191,-1,
R_2t8UoVzqoKSnTXw,Default Response Set,Anonymous,,,170.53.87.241,0,2016-04-04 00:24:10,2016-04-04 00:28:58,1,4194902,1,2,3,4,Negative,Negative,Positive,1,2,3,4,35-44,Democrat,Strong,,,,,,Agree,Agree,,,,,Disagree,Disagree,,,,,,,,,,,,,Slightly familiar,Slightly familiar,1,2,3,4,Female,4-year College Degree,Other,Married with children,North Carolina,36.071395874023,-79.76789855957,-1,
R_1gncaoigrW7QhTL,Default Response Set,Anonymous,,,172.56.6.117,0,2016-04-04 00:29:37,2016-04-04 00:31:28,1,4223022,1,2,3,4,Positive,Neutral,Positive,1,2,3,4,18-25,Democrat,Moderate,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Agree,,,,,,,,,,,,,Very familiar,Very familiar,1,2,3,4,Female,Some College,"Management, professional, and related ",Married with children,Louisiana,32.778106689453,-96.955497741699,-1,
R_eEBp1iYL82MkhPT,Default Response Set,Anonymous,,,66.81.28.147,0,2016-04-04 00:25:38,2016-04-04 00:32:12,1,429298,1,2,3,4,Positive,Very Positive,Positive,1,2,3,4,26-34,Republican,Weak,,,,,,Neither Agree nor Disagree,Disagree,,,,,Disagree,Disagree,,,,,,,,,,,,,Moderately familiar,Very familiar,1,2,3,4,Female,Some College,Sales and office ,Married with children,California,33.866104125977,-118.05279541016,-1,
R_1QuUb80KSvekfMM,Default Response Set,Anonymous,,,71.72.139.23,0,2016-04-04 00:29:29,2016-04-04 00:32:51,1,4815236,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Independent,,Democrat,,,,,Agree,Agree,,,,,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Extremely familiar,Very familiar,1,2,3,4,Female,Some College,"Management, professional, and related ",Divorced,Ohio,41.359802246094,-83.125503540039,-1,
R_1DHKx7ToPCRtmtC,Default Response Set,Anonymous,,,104.152.45.26,0,2016-04-04 00:30:17,2016-04-04 00:33:21,1,4103774,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Independent,,Democrat,,,,,Agree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Male,4-year College Degree,Other,"Single, never married",California,34.052993774414,-118.26419830322,-1,
R_3hnAqKBgo6SmYKy,Default Response Set,Anonymous,,,71.52.34.155,0,2016-04-04 00:32:53,2016-04-04 00:37:15,1,3048895,1,2,3,4,Positive,Positive,Neutral,1,2,3,4,45-54,Democrat,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Moderately familiar,Slightly familiar,1,2,3,4,Female,4-year College Degree,Unemployed,Married without children,Nevada,36.087707519531,-115.14849853516,-1,
R_1HcPyCigSYOrjgt,Default Response Set,Anonymous,,,99.112.189.7,0,2016-04-04 00:33:33,2016-04-04 00:37:23,1,2604497,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Independent,,Democrat,,,,,,,,,,,,,,,,,Agree,Disagree,,,,,Strongly Agree,Strongly Agree,Extremely familiar,Extremely familiar,1,2,3,4,Female,Masters Degree,"Management, professional, and related ",Divorced,Texas,32.749206542969,-97.220497131348,-1,
R_ehPUuUc2Ocf4w01,Default Response Set,Anonymous,,,104.50.4.133,0,2016-04-04 00:33:30,2016-04-04 00:39:35,1,1569814,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,26-34,Independent,,Democrat,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Agree,Neither Agree nor Disagree,Very familiar,Very familiar,1,2,3,4,Female,Masters Degree,"Management, professional, and related ",Married without children,California,37.280303955078,-121.95669555664,-1,
R_3QReSadeEFQDh8a,Default Response Set,Anonymous,,,152.7.63.178,0,2016-04-04 00:37:43,2016-04-04 00:40:05,1,4075935,1,2,3,4,Positive,Positive,Positive,1,2,3,4,18-25,Independent,,Republican,,,,,Strongly Agree,Strongly Agree,,,,,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Extremely familiar,Very familiar,1,2,3,4,Male,Some College,Unemployed,"Single, never married",North Carolina,35.746307373047,-78.723899841309,-1,
R_2EcnF4bqGOsb6SV,Default Response Set,Anonymous,,,72.192.240.11,0,2016-04-04 00:37:44,2016-04-04 00:41:40,1,8962215,1,2,3,4,Negative,Negative,Neutral,1,2,3,4,18-25,Democrat,Strong,,,,,,Neither Agree nor Disagree,Agree,,,,,Agree,Neither Agree nor Disagree,,,,,,,,,,,,,Extremely familiar,Extremely familiar,1,2,3,4,Male,Some College,Unemployed,"Single, never married",Virginia,38.785095214844,-77.286598205566,-1,
R_RKVQGu8dQlZb3Vv,Default Response Set,Anonymous,,,172.56.12.22,0,2016-04-04 00:41:06,2016-04-04 00:45:36,1,3513030,1,2,3,4,Negative,Neutral,Neutral,1,2,3,4,35-44,Democrat,Moderate,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Agree,Agree,Moderately familiar,Very familiar,1,2,3,4,Female,High School / GED,Other,"Single, never married",Wisconsin,41.881301879883,-87.844100952148,-1,
R_2PmWX4JvN7mc72h,Default Response Set,Anonymous,,,73.230.81.157,0,2016-04-04 00:43:55,2016-04-04 00:47:45,1,6451252,1,2,3,4,Negative,Neutral,Neutral,1,2,3,4,45-54,Democrat,Strong,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Slightly familiar,Very familiar,1,2,3,4,Female,4-year College Degree,Sales and office ,"Single, never married",Pennsylvania,40.797500610352,-77.902099609375,-1,
R_3HH0mMjkiblV5vX,Default Response Set,Anonymous,,,142.196.127.56,0,2016-04-04 01:02:30,2016-04-04 01:05:11,1,7820259,1,2,3,4,Neutral,Negative,Neutral,1,2,3,4,45-54,Republican,Strong,,,,,,Neither Agree nor Disagree,Agree,,,,,Agree,Agree,,,,,,,,,,,,,Very familiar,Very familiar,1,2,3,4,Female,4-year College Degree,Sales and office ,Married with children,Florida,28.306900024414,-81.424598693848,-1,
R_1hExVFop238qYNN,Default Response Set,Anonymous,,,50.53.35.149,0,2016-04-04 00:54:34,2016-04-04 01:11:53,1,1096913,1,2,3,4,Positive,Positive,Positive,1,2,3,4,35-44,Democrat,Strong,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Agree,Agree,Moderately familiar,Moderately familiar,1,2,3,4,Male,Some College,Service ,"Single, never married",Oregon,45.522201538086,-122.85929870605,-1,
R_3MPUGHoE97RR83i,Default Response Set,Anonymous,,,115.66.81.241,0,2016-04-04 01:12:51,2016-04-04 01:15:09,1,9806211,1,2,3,4,Positive,Neutral,Positive,1,2,3,4,45-54,Democrat,Weak,,,,,,Agree,Agree,,,,,Disagree,Disagree,,,,,,,,,,,,,Moderately familiar,Very familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ","Single, never married",Illinois,1.2931060791016,103.85580444336,-1,
R_3jVyKCIQrHJARbZ,Default Response Set,Anonymous,,,174.19.241.237,0,2016-04-04 01:14:41,2016-04-04 01:17:35,1,8071293,1,2,3,4,Positive,Very Positive,Neutral,1,2,3,4,55-64,Democrat,Weak,,,,,,Agree,Strongly Agree,,,,,Agree,Agree,,,,,,,,,,,,,Very familiar,Moderately familiar,1,2,3,4,Male,4-year College Degree,Retired,Living w/ partner,Arizona,33.400100708008,-111.92900085449,-1,
R_3FOtZnMV4DGqYiE,Default Response Set,Anonymous,,,189.238.50.4,0,2016-04-04 01:17:52,2016-04-04 01:21:06,1,6933756,1,2,3,4,Neutral,Positive,Positive,1,2,3,4,18-25,Republican,Moderate,,,,,,Neither Agree nor Disagree,Disagree,,,,,Agree,Agree,,,,,,,,,,,,,Very familiar,Slightly familiar,1,2,3,4,Male,High School / GED,"Production, transportation, and material moving ","Single, never married",Texas,27.5,-99.516700744629,-1,
R_yNN1CmbZkV7Bn5n,Default Response Set,Anonymous,,,72.193.68.79,0,2016-04-04 01:21:09,2016-04-04 01:23:40,1,4522346,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,26-34,Democrat,Moderate,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Very familiar,Extremely familiar,1,2,3,4,Female,4-year College Degree,"Management, professional, and related ",Married with children,Nevada,35.978103637695,-115.21170043945,-1,
R_PInO4BuRlOixi5X,Default Response Set,Anonymous,,,198.8.80.163,0,2016-04-04 01:21:37,2016-04-04 01:23:51,1,9514233,1,2,3,4,Neutral,Neutral,Positive,1,2,3,4,35-44,Independent,,Democrat,,,,,,,,,,,,,,,,,Agree,Neither Agree nor Disagree,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Very familiar,Moderately familiar,1,2,3,4,Male,Masters Degree,Service ,Married without children,Wisconsin,34.043792724609,-118.25120544434,-1,
R_1f8BLwXRE47e0gc,Default Response Set,Anonymous,,,107.133.5.220,0,2016-04-04 01:21:21,2016-04-04 01:23:52,1,1105125,1,2,3,4,Positive,Positive,Neutral,1,2,3,4,35-44,Independent,,Democrat,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Agree,,,,,Neither Agree nor Disagree,Agree,Moderately familiar,Moderately familiar,1,2,3,4,Female,High School / GED,Service ,Living w/ partner,California,34.151092529297,-118.36660003662,-1,
R_afwnNtWdMFM2T0B,Default Response Set,Anonymous,,,71.193.247.165,0,2016-04-04 01:21:48,2016-04-04 01:26:04,1,2693357,1,2,3,4,Neutral,Neutral,Positive,1,2,3,4,45-54,Independent,,Democrat,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,Agree,Agree,Extremely familiar,Extremely familiar,1,2,3,4,Female,4-year College Degree,Other,Separated,Oregon,45.02360534668,-123.11250305176,-1,
R_29vvHKG97teiJj1,Default Response Set,Anonymous,,,209.16.115.67,0,2016-04-04 01:35:18,2016-04-04 01:41:10,1,1314780,1,2,3,4,Positive,Positive,Positive,1,2,3,4,55-64,Democrat,Moderate,,,,,,,,,,,,,,,,,,Agree,Agree,,,,,Agree,Agree,Extremely familiar,Moderately familiar,1,2,3,4,Female,4-year College Degree,Government ,Married with children,Florida,28.306900024414,-81.424598693848,-1,
R_2chg84EuhalxZMF,Default Response Set,Anonymous,,,173.76.90.110,0,2016-04-04 01:11:33,2016-04-04 01:41:27,1,3962897,1,2,3,4,Neutral,Negative,Positive,1,2,3,4,35-44,Independent,,Democrat,,,,,Disagree,Disagree,,,,,Agree,Agree,,,,,,,,,,,,,Slightly familiar,Slightly familiar,1,2,3,4,Male,High School / GED,Service ,"Single, never married",Massachusetts,42.118606567383,-71.103302001953,-1,
R_AczWGsq18ZBfe9P,Default Response Set,Anonymous,,,108.90.206.31,0,2016-04-04 01:46:37,2016-04-04 01:49:05,1,326036,1,2,3,4,Positive,Positive,Positive,1,2,3,4,26-34,Democrat,Weak,,,,,,Agree,Agree,,,,,Neither Agree nor Disagree,Agree,,,,,,,,,,,,,Slightly familiar,Slightly familiar,1,2,3,4,Male,High School / GED,Sales and office ,"Single, never married",California,36.767807006836,-121.65910339355,-1,
R_RWRb9cqQU6gmYbD,Default Response Set,Anonymous,,,98.80.213.137,0,2016-04-04 01:54:22,2016-04-04 01:57:16,1,1383151,1,2,3,4,Neutral,Positive,Neutral,1,2,3,4,26-34,Independent,,Republican,,,,,Agree,Agree,,,,,Agree,Neither Agree nor Disagree,,,,,,,,,,,,,Moderately familiar,Moderately familiar,1,2,3,4,Male,4-year College Degree,"Management, professional, and related ","Single, never married",Georgia,32.897506713867,-83.753601074219,-1,
R_3Ecdy2RGAfgbDO1,Default Response Set,Anonymous,,,50.165.49.160,0,2016-04-04 01:55:41,2016-04-04 01:58:02,1,8770867,1,2,3,4,Neutral,Neutral,Neutral,1,2,3,4,26-34,Democrat,Strong,,,,,,,,,,,,,,,,,,Disagree,Disagree,,,,,Agree,Agree,Very familiar,Moderately familiar,1,2,3,4,Male,High School / GED,Service ,"Single, never married",Indiana,41.592102050781,-87.456398010254,-1,
